,comparison,p-value,significant
0,S_S-S - S_P-S,0.6274575175119302,False
1,S_S-S - S_S-P,1.0,False
2,S_S-S - S_P-P,0.28596209833586045,False
3,S_S-S - P_S-S,1.0,False
4,S_S-S - P_P-S,1.0,False
5,S_S-S - P_S-P,1.0,False
6,S_S-S - P_P-P,1.0,False
7,S_P-S - S_S-P,1.0,False
8,S_P-S - S_P-P,1.0,False
9,S_P-S - P_S-S,1.0,False
10,S_P-S - P_P-S,1.0,False
11,S_P-S - P_S-P,1.0,False
12,S_P-S - P_P-P,1.0,False
13,S_S-P - S_P-P,0.5587788183107729,False
14,S_S-P - P_S-S,1.0,False
15,S_S-P - P_P-S,1.0,False
16,S_S-P - P_S-P,1.0,False
17,S_S-P - P_P-P,1.0,False
18,S_P-P - P_S-S,1.0,False
19,S_P-P - P_P-S,0.29065438346365485,False
20,S_P-P - P_S-P,1.0,False
21,S_P-P - P_P-P,1.0,False
22,P_S-S - P_P-S,0.3542832171095524,False
23,P_S-S - P_S-P,1.0,False
24,P_S-S - P_P-P,1.0,False
25,P_P-S - P_S-P,1.0,False
26,P_P-S - P_P-P,0.8591726600703687,False
27,P_S-P - P_P-P,1.0,False
