,comparison,p-value,significant
0,S_S-S - S_P-S,0.0015087531104889512,True
1,S_S-S - S_S-P,0.00010613938287972796,True
2,S_S-S - S_P-P,1.0,False
3,S_S-S - P_S-S,0.07235897764982953,False
4,S_S-S - P_P-S,1.0,False
5,S_S-S - P_S-P,0.32092708947520976,False
6,S_S-S - P_P-P,0.6612003595364112,False
7,S_P-S - S_S-P,9.10071099087868e-05,True
8,S_P-S - S_P-P,0.009603457900480174,True
9,S_P-S - P_S-S,0.0028714945740877284,True
10,S_P-S - P_P-S,0.00032025692409895187,True
11,S_P-S - P_S-P,0.5187064869952394,False
12,S_P-S - P_P-P,0.005331582026436469,True
13,S_S-P - S_P-P,0.11714635881440877,False
14,S_S-P - P_S-S,0.0009636973014840017,True
15,S_S-P - P_P-S,0.270085067542865,False
16,S_S-P - P_S-P,0.0011802250839199084,True
17,S_S-P - P_P-P,1.0,False
18,S_P-P - P_S-S,0.20336576810376544,False
19,S_P-P - P_P-S,1.0,False
20,S_P-P - P_S-P,1.0,False
21,S_P-P - P_P-P,1.0,False
22,P_S-S - P_P-S,0.022037361529731944,True
23,P_S-S - P_S-P,1.0,False
24,P_S-S - P_P-P,0.056246172643506544,False
25,P_P-S - P_S-P,0.5548639455398086,False
26,P_P-S - P_P-P,1.0,False
27,P_S-P - P_P-P,0.002305532447197634,True
