,comparison,p-value,significant
0,S_S-S - S_P-S,1.0,False
1,S_S-S - S_S-P,1.0,False
2,S_S-S - S_P-P,1.0,False
3,S_S-S - P_S-S,1.0,False
4,S_S-S - P_P-S,0.4526255256367929,False
5,S_S-S - P_S-P,1.0,False
6,S_S-S - P_P-P,0.17944978218614077,False
7,S_P-S - S_S-P,1.0,False
8,S_P-S - S_P-P,1.0,False
9,S_P-S - P_S-S,1.0,False
10,S_P-S - P_P-S,1.0,False
11,S_P-S - P_S-P,1.0,False
12,S_P-S - P_P-P,1.0,False
13,S_S-P - S_P-P,1.0,False
14,S_S-P - P_S-S,1.0,False
15,S_S-P - P_P-S,0.6497323410006358,False
16,S_S-P - P_S-P,1.0,False
17,S_S-P - P_P-P,0.2228918640504874,False
18,S_P-P - P_S-S,1.0,False
19,S_P-P - P_P-S,1.0,False
20,S_P-P - P_S-P,1.0,False
21,S_P-P - P_P-P,1.0,False
22,P_S-S - P_P-S,1.0,False
23,P_S-S - P_S-P,0.32559801815006134,False
24,P_S-S - P_P-P,1.0,False
25,P_P-S - P_S-P,1.0,False
26,P_P-S - P_P-P,0.3784993777101815,False
27,P_S-P - P_P-P,1.0,False
