,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,p_w1,p_w2,p_phrase,compatibility_score,leftA,rightA,p_w1A,p_w2A,compatibility_scoreA
0,1.0,1.0,1.0,S,S,S,S_S-S,Абонемент на концерт был дорогим из-за участия популярных артистов.,Абонемент на концерт,был дорогим из-за участия популярных артистов.,-28.359375,-56.28125,-74.0,10.640625,Абонемент на концерт был,дорогим из-за участия популярных артистов.,-36.375,-54.53125,16.90625
1,2.0,1.0,1.0,S,S,P,P_S-S,Абонемент на концерт были дорогими из-за участия популярных артистов.,Абонемент на концерт,были дорогими из-за участия популярных артистов.,-28.359375,-55.0625,-79.375,4.046875,Абонемент на концерт были,дорогими из-за участия популярных артистов.,-40.34375,-54.15625,15.125
2,3.0,1.0,1.0,S,P,S,S_S-P,Абонемент на концерты был дорогим из-за участия популярных артистов.,Абонемент на концерты,был дорогим из-за участия популярных артистов.,-27.984375,-56.28125,-74.5625,9.703125,Абонемент на концерты был,дорогим из-за участия популярных артистов.,-36.34375,-54.53125,16.3125
3,4.0,1.0,1.0,S,P,P,P_S-P,Абонемент на концерты были дорогими из-за участия популярных артистов.,Абонемент на концерты,были дорогими из-за участия популярных артистов.,-27.984375,-55.0625,-75.9375,7.109375,Абонемент на концерты были,дорогими из-за участия популярных артистов.,-38.84375,-54.15625,17.0625
4,5.0,1.0,1.0,P,S,S,S_P-S,Абонементы на концерт был дорогим из-за участия популярных артистов.,Абонементы на концерт,был дорогим из-за участия популярных артистов.,-28.640625,-56.28125,-75.6875,9.234375,Абонементы на концерт был,дорогим из-за участия популярных артистов.,-39.65625,-54.53125,18.5
5,6.0,1.0,1.0,P,S,P,P_P-S,Абонементы на концерт были дорогими из-за участия популярных артистов.,Абонементы на концерт,были дорогими из-за участия популярных артистов.,-28.640625,-55.0625,-73.125,10.578125,Абонементы на концерт были,дорогими из-за участия популярных артистов.,-36.46875,-54.15625,17.5
6,7.0,1.0,1.0,P,P,S,S_P-P,Абонементы на концерты был дорогим из-за участия популярных артистов.,Абонементы на концерты,был дорогим из-за участия популярных артистов.,-26.453125,-56.28125,-78.3125,4.421875,Абонементы на концерты был,дорогим из-за участия популярных артистов.,-40.125,-54.53125,16.34375
7,8.0,1.0,1.0,P,P,P,P_P-P,Абонементы на концерты были дорогими из-за участия популярных артистов.,Абонементы на концерты,были дорогими из-за участия популярных артистов.,-26.453125,-55.0625,-71.375,10.140625,Абонементы на концерты были,дорогими из-за участия популярных артистов.,-35.21875,-54.15625,18.0
8,1.0,2.0,1.0,S,S,P,P_S-S,Анекдот про экзамен были обидными для строгого пожилого учителя.,Анекдот про экзамен,были обидными для строгого пожилого учителя.,-30.0,-58.125,-86.125,2.0,Анекдот про экзамен были,обидными для строгого пожилого учителя.,-42.96875,-53.5625,10.40625
9,2.0,2.0,1.0,S,P,S,S_S-P,Анекдот про экзамены был обидным для строгого пожилого учителя.,Анекдот про экзамены,был обидным для строгого пожилого учителя.,-31.5625,-58.125,-82.125,7.5625,Анекдот про экзамены был,обидным для строгого пожилого учителя.,-38.875,-52.625,9.375
10,3.0,2.0,1.0,S,P,P,P_S-P,Анекдот про экзамены были обидными для строгого пожилого учителя.,Анекдот про экзамены,были обидными для строгого пожилого учителя.,-31.5625,-58.125,-86.9375,2.75,Анекдот про экзамены были,обидными для строгого пожилого учителя.,-43.09375,-53.5625,9.71875
