,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,left_gpt_is_singular_score,left_gpt_is_plural_score
0,1.0,1.0,1.0,S,S,S,S_S-S,Абонемент на концерт был дорогим из-за участия популярных артистов.,Абонемент на концерт,был дорогим из-за участия популярных артистов.,0.55194646,-4.2109113
1,2.0,1.0,1.0,S,S,P,P_S-S,Абонемент на концерт были дорогими из-за участия популярных артистов.,Абонемент на концерт,были дорогими из-за участия популярных артистов.,0.55194646,-4.2109113
2,3.0,1.0,1.0,S,P,S,S_S-P,Абонемент на концерты был дорогим из-за участия популярных артистов.,Абонемент на концерты,был дорогим из-за участия популярных артистов.,-0.13932315,-4.0270977
3,4.0,1.0,1.0,S,P,P,P_S-P,Абонемент на концерты были дорогими из-за участия популярных артистов.,Абонемент на концерты,были дорогими из-за участия популярных артистов.,-0.13932315,-4.0270977
4,5.0,1.0,1.0,P,S,S,S_P-S,Абонементы на концерт был дорогим из-за участия популярных артистов.,Абонементы на концерт,был дорогим из-за участия популярных артистов.,-2.0911565,-0.49715385
5,6.0,1.0,1.0,P,S,P,P_P-S,Абонементы на концерт были дорогими из-за участия популярных артистов.,Абонементы на концерт,были дорогими из-за участия популярных артистов.,-2.0911565,-0.49715385
6,7.0,1.0,1.0,P,P,S,S_P-P,Абонементы на концерты был дорогим из-за участия популярных артистов.,Абонементы на концерты,был дорогим из-за участия популярных артистов.,-3.6801693,-1.2874177
7,8.0,1.0,1.0,P,P,P,P_P-P,Абонементы на концерты были дорогими из-за участия популярных артистов.,Абонементы на концерты,были дорогими из-за участия популярных артистов.,-3.6801693,-1.2874177
8,1.0,2.0,1.0,S,S,P,P_S-S,Анекдот про экзамен были обидными для строгого пожилого учителя.,Анекдот про экзамен,были обидными для строгого пожилого учителя.,1.7170734,-3.250152
9,2.0,2.0,1.0,S,P,S,S_S-P,Анекдот про экзамены был обидным для строгого пожилого учителя.,Анекдот про экзамены,был обидным для строгого пожилого учителя.,2.399509,-1.6324198
10,3.0,2.0,1.0,S,P,P,P_S-P,Анекдот про экзамены были обидными для строгого пожилого учителя.,Анекдот про экзамены,были обидными для строгого пожилого учителя.,2.399509,-1.6324198
11,4.0,2.0,1.0,P,S,S,S_P-S,Анекдоты про экзамен был обидным для строгого пожилого учителя.,Анекдоты про экзамен,был обидным для строгого пожилого учителя.,-1.8243661,-0.08895227
12,5.0,2.0,1.0,P,S,P,P_P-S,Анекдоты про экзамен были обидными для строгого пожилого учителя.,Анекдоты про экзамен,были обидными для строгого пожилого учителя.,-1.8243661,-0.08895227
13,6.0,2.0,1.0,P,P,S,S_P-P,Анекдоты про экзамены был обидным для строгого пожилого учителя.,Анекдоты про экзамены,был обидным для строгого пожилого учителя.,-2.879142,1.0489104
14,7.0,2.0,1.0,P,P,P,P_P-P,Анекдоты про экзамены были обидными для строгого пожилого учителя.,Анекдоты про экзамены,были обидными для строгого пожилого учителя.,-2.879142,1.0489104
15,8.0,2.0,1.0,S,S,S,S_S-S,Анекдот про экзамен был обидным для строгого пожилого учителя.,Анекдот про экзамен,был обидным для строгого пожилого учителя.,1.7170734,-3.250152
16,1.0,3.0,1.0,S,P,S,S_S-P,Арка во дворы была проделана в несущей конструкции здания,Арка во дворы,была проделана в несущей конструкции здания,2.3656642,-2.628637
17,2.0,3.0,1.0,S,P,P,P_S-P,Арка во дворы были проделаны в несущей конструкции здания,Арка во дворы,были проделаны в несущей конструкции здания,2.3656642,-2.628637
18,3.0,3.0,1.0,P,S,S,S_P-S,Арки во двор была проделана в несущей конструкции здания,Арки во двор,была проделана в несущей конструкции здания,-1.418283,1.2034116
19,4.0,3.0,1.0,P,S,P,P_P-S,Арки во двор были проделаны в несущей конструкции здания,Арки во двор,были проделаны в несущей конструкции здания,-1.418283,1.2034116
20,5.0,3.0,1.0,P,P,S,S_P-P,Арки во дворы была проделана в несущей конструкции здания,Арки во дворы,была проделана в несущей конструкции здания,-0.66128606,1.8706727
21,6.0,3.0,1.0,P,P,P,P_P-P,Арки во дворы были проделаны в несущей конструкции здания,Арки во дворы,были проделаны в несущей конструкции здания,-0.66128606,1.8706727
22,7.0,3.0,1.0,S,S,S,S_S-S,Арка во двор была проделана в несущей конструкции здания,Арка во двор,была проделана в несущей конструкции здания,2.3902254,-1.1971594
23,8.0,3.0,1.0,S,S,P,P_S-S,Арка во двор были проделаны в несущей конструкции здания,Арка во двор,были проделаны в несущей конструкции здания,2.3902254,-1.1971594
24,1.0,4.0,1.0,S,P,P,P_S-P,Атака на крепости были безуспешными из-за стратегической ошибки полководца.,Атака на крепости,были безуспешными из-за стратегической ошибки полководца.,3.0959496,-0.8149029
25,2.0,4.0,1.0,P,S,S,S_P-S,Атаки на крепость была безуспешной из-за стратегической ошибки полководца.,Атаки на крепость,была безуспешной из-за стратегической ошибки полководца.,-2.064974,2.4663048
26,3.0,4.0,1.0,P,S,P,P_P-S,Атаки на крепость были безуспешными из-за стратегической ошибки полководца.,Атаки на крепость,были безуспешными из-за стратегической ошибки полководца.,-2.064974,2.4663048
27,4.0,4.0,1.0,P,P,S,S_P-P,Атаки на крепости была безуспешной из-за стратегической ошибки полководца.,Атаки на крепости,была безуспешной из-за стратегической ошибки полководца.,-1.1436188,3.2942603
28,5.0,4.0,1.0,P,P,P,P_P-P,Атаки на крепости были безуспешными из-за стратегической ошибки полководца.,Атаки на крепости,были безуспешными из-за стратегической ошибки полководца.,-1.1436188,3.2942603
29,6.0,4.0,1.0,S,S,S,S_S-S,Атака на крепость была безуспешной из-за стратегической ошибки полководца.,Атака на крепость,была безуспешной из-за стратегической ошибки полководца.,2.9991748,-3.3322878
30,7.0,4.0,1.0,S,S,P,P_S-S,Атака на крепость были безуспешными из-за стратегической ошибки полководца.,Атака на крепость,были безуспешными из-за стратегической ошибки полководца.,2.9991748,-3.3322878
31,8.0,4.0,1.0,S,P,S,S_S-P,Атака на крепости была безуспешной из-за стратегической ошибки полководца.,Атака на крепости,была безуспешной из-за стратегической ошибки полководца.,3.0959496,-0.8149029
32,1.0,5.0,1.0,P,S,S,S_P-S,Билеты в музей был утерян во время уличной демонстрации.,Билеты в музей,был утерян во время уличной демонстрации.,-0.08545379,3.7253325
33,2.0,5.0,1.0,P,S,P,P_P-S,Билеты в музей были утеряны во время уличной демонстрации.,Билеты в музей,были утеряны во время уличной демонстрации.,-0.08545379,3.7253325
34,3.0,5.0,1.0,P,P,S,S_P-P,Билеты в музеи был утерян во время уличной демонстрации.,Билеты в музеи,был утерян во время уличной демонстрации.,-2.0973392,1.4785664
35,4.0,5.0,1.0,P,P,P,P_P-P,Билеты в музеи были утеряны во время уличной демонстрации.,Билеты в музеи,были утеряны во время уличной демонстрации.,-2.0973392,1.4785664
36,5.0,5.0,1.0,S,S,S,S_S-S,Билет в музей был утерян во время уличной демонстрации.,Билет в музей,был утерян во время уличной демонстрации.,2.3861353,-0.66552216
37,6.0,5.0,1.0,S,S,P,P_S-S,Билет в музей были утеряны во время уличной демонстрации.,Билет в музей,были утеряны во время уличной демонстрации.,2.3861353,-0.66552216
38,7.0,5.0,1.0,S,P,S,S_S-P,Билет в музеи был утерян во время уличной демонстрации.,Билет в музеи,был утерян во время уличной демонстрации.,2.3293672,-0.90310466
39,8.0,5.0,1.0,S,P,P,P_S-P,Билет в музеи были утеряны во время уличной демонстрации.,Билет в музеи,были утеряны во время уличной демонстрации.,2.3293672,-0.90310466
40,1.0,6.0,1.0,P,S,P,P_P-S,Взгляды на снимок были брошены из-под длинных опущенных ресниц.,Взгляды на снимок,были брошены из-под длинных опущенных ресниц.,-1.2638556,2.8356228
41,2.0,6.0,1.0,P,P,S,S_P-P,Взгляды на снимки был брошен из-под длинных опущенных ресниц.,Взгляды на снимки,был брошен из-под длинных опущенных ресниц.,-2.1810923,2.1367338
42,3.0,6.0,1.0,P,P,P,P_P-P,Взгляды на снимки были брошены из-под длинных опущенных ресниц.,Взгляды на снимки,были брошены из-под длинных опущенных ресниц.,-2.1810923,2.1367338
43,4.0,6.0,1.0,S,S,S,S_S-S,Взгляд на снимок был брошен из-под длинных опущенных ресниц.,Взгляд на снимок,был брошен из-под длинных опущенных ресниц.,1.104814,-5.4636993
44,5.0,6.0,1.0,S,S,P,P_S-S,Взгляд на снимок были брошены из-под длинных опущенных ресниц.,Взгляд на снимок,были брошены из-под длинных опущенных ресниц.,1.104814,-5.4636993
45,6.0,6.0,1.0,S,P,S,S_S-P,Взгляд на снимки был брошен из-под длинных опущенных ресниц.,Взгляд на снимки,был брошен из-под длинных опущенных ресниц.,1.2857567,-4.3917704
46,7.0,6.0,1.0,S,P,P,P_S-P,Взгляд на снимки были брошены из-под длинных опущенных ресниц.,Взгляд на снимки,были брошены из-под длинных опущенных ресниц.,1.2857567,-4.3917704
47,8.0,6.0,1.0,P,S,S,S_P-S,Взгляды на снимок был брошен из-под длинных опущенных ресниц.,Взгляды на снимок,был брошен из-под длинных опущенных ресниц.,-1.2638556,2.8356228
48,1.0,7.0,1.0,P,P,S,S_P-P,Возражения на упреки было принято без излишне бурных эмоций.,Возражения на упреки,было принято без излишне бурных эмоций.,-1.6287661,1.7763638
49,2.0,7.0,1.0,P,P,P,P_P-P,Возражения на упреки были приняты без излишне бурных эмоций.,Возражения на упреки,были приняты без излишне бурных эмоций.,-1.6287661,1.7763638
50,3.0,7.0,1.0,S,S,S,S_S-S,Возражение на упрек было принято без излишне бурных эмоций.,Возражение на упрек,было принято без излишне бурных эмоций.,-0.2734156,-3.1124158
51,4.0,7.0,1.0,S,S,P,P_S-S,Возражение на упрек были приняты без излишне бурных эмоций.,Возражение на упрек,были приняты без излишне бурных эмоций.,-0.2734156,-3.1124158
52,5.0,7.0,1.0,S,P,S,S_S-P,Возражение на упреки было принято без излишне бурных эмоций.,Возражение на упреки,было принято без излишне бурных эмоций.,-0.6547783,-1.0941485
53,6.0,7.0,1.0,S,P,P,P_S-P,Возражение на упреки были приняты без излишне бурных эмоций.,Возражение на упреки,были приняты без излишне бурных эмоций.,-0.6547783,-1.0941485
54,7.0,7.0,1.0,P,S,S,S_P-S,Возражения на упрек было принято без излишне бурных эмоций.,Возражения на упрек,было принято без излишне бурных эмоций.,-2.2592819,0.6388983
55,8.0,7.0,1.0,P,S,P,P_P-S,Возражения на упрек были приняты без излишне бурных эмоций.,Возражения на упрек,были приняты без излишне бурных эмоций.,-2.2592819,0.6388983
56,1.0,8.0,1.0,P,P,P,P_P-P,Выстрелы в цели были неточными из-за сбитого прицела ружья.,Выстрелы в цели,были неточными из-за сбитого прицела ружья.,-2.5334544,-0.106060326
57,2.0,8.0,1.0,S,S,S,S_S-S,Выстрел в цель был неточным из-за сбитого прицела ружья.,Выстрел в цель,был неточным из-за сбитого прицела ружья.,0.81176007,-4.9054437
58,3.0,8.0,1.0,S,S,P,P_S-S,Выстрел в цель были неточными из-за сбитого прицела ружья.,Выстрел в цель,были неточными из-за сбитого прицела ружья.,0.81176007,-4.9054437
59,4.0,8.0,1.0,S,P,S,S_S-P,Выстрел в цели был неточным из-за сбитого прицела ружья.,Выстрел в цели,был неточным из-за сбитого прицела ружья.,0.5187955,-3.9271646
60,5.0,8.0,1.0,S,P,P,P_S-P,Выстрел в цели были неточными из-за сбитого прицела ружья.,Выстрел в цели,были неточными из-за сбитого прицела ружья.,0.5187955,-3.9271646
61,6.0,8.0,1.0,P,S,S,S_P-S,Выстрелы в цель был неточным из-за сбитого прицела ружья.,Выстрелы в цель,был неточным из-за сбитого прицела ружья.,-2.8866394,0.77392614
62,7.0,8.0,1.0,P,S,P,P_P-S,Выстрелы в цель были неточными из-за сбитого прицела ружья.,Выстрелы в цель,были неточными из-за сбитого прицела ружья.,-2.8866394,0.77392614
63,8.0,8.0,1.0,P,P,S,S_P-P,Выстрелы в цели был неточным из-за сбитого прицела ружья.,Выстрелы в цели,был неточным из-за сбитого прицела ружья.,-2.5334544,-0.106060326
64,1.0,9.0,1.0,S,S,S,S_S-S,Дорога через лес была проложена для снабжения людей провизией.,Дорога через лес,была проложена для снабжения людей провизией.,3.4655337,-2.845418
65,2.0,9.0,1.0,S,S,P,P_S-S,Дорога через лес были проложены для снабжения людей провизией.,Дорога через лес,были проложены для снабжения людей провизией.,3.4655337,-2.845418
66,3.0,9.0,1.0,S,P,S,S_S-P,Дорога через леса была проложена для снабжения людей провизией.,Дорога через леса,была проложена для снабжения людей провизией.,1.8302642,-3.4602675
67,4.0,9.0,1.0,S,P,P,P_S-P,Дорога через леса были проложены для снабжения людей провизией.,Дорога через леса,были проложены для снабжения людей провизией.,1.8302642,-3.4602675
