,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,masked_left,masked_full,need_to_predict,left_bert_is_singular,full_bert_is_singular,left_bert_is_singular_score,left_bert_is_plural_score,full_bert_is_singular_score,full_bert_is_plural_score
0,1.0,1.0,1.0,S,S,S,S_S-S,Абонемент на концерт был дорогим из-за участия популярных артистов.,Абонемент на концерт,был дорогим из-за участия популярных артистов.,Абонемент на концерт [MASK],Абонемент на концерт [MASK] [MASK] из-за участия популярных артистов.,был дорогим,True,True,3.0692358016967773,-3.2619361877441406,11.95199203491211,5.909460544586182
1,2.0,1.0,1.0,S,S,P,P_S-S,Абонемент на концерт были дорогими из-за участия популярных артистов.,Абонемент на концерт,были дорогими из-за участия популярных артистов.,Абонемент на концерт [MASK],Абонемент на концерт [MASK] [MASK] из-за участия популярных артистов.,были дорогими,True,True,3.0692358016967773,-3.2619361877441406,11.95199203491211,5.909460544586182
2,3.0,1.0,1.0,S,P,S,S_S-P,Абонемент на концерты был дорогим из-за участия популярных артистов.,Абонемент на концерты,был дорогим из-за участия популярных артистов.,Абонемент на концерты [MASK],Абонемент на концерты [MASK] [MASK] из-за участия популярных артистов.,был дорогим,True,True,2.110902786254883,-1.0378894805908203,10.065629005432129,5.547128200531006
3,4.0,1.0,1.0,S,P,P,P_S-P,Абонемент на концерты были дорогими из-за участия популярных артистов.,Абонемент на концерты,были дорогими из-за участия популярных артистов.,Абонемент на концерты [MASK],Абонемент на концерты [MASK] [MASK] из-за участия популярных артистов.,были дорогими,True,True,2.110902786254883,-1.0378894805908203,10.065629005432129,5.547128200531006
4,5.0,1.0,1.0,P,S,S,S_P-S,Абонементы на концерт был дорогим из-за участия популярных артистов.,Абонементы на концерт,был дорогим из-за участия популярных артистов.,Абонементы на концерт [MASK],Абонементы на концерт [MASK] [MASK] из-за участия популярных артистов.,был дорогим,False,False,-0.3492622673511505,2.868706703186035,6.86793327331543,11.481144905090332
5,6.0,1.0,1.0,P,S,P,P_P-S,Абонементы на концерт были дорогими из-за участия популярных артистов.,Абонементы на концерт,были дорогими из-за участия популярных артистов.,Абонементы на концерт [MASK],Абонементы на концерт [MASK] [MASK] из-за участия популярных артистов.,были дорогими,False,False,-0.3492622673511505,2.868706703186035,6.86793327331543,11.481144905090332
6,7.0,1.0,1.0,P,P,S,S_P-P,Абонементы на концерты был дорогим из-за участия популярных артистов.,Абонементы на концерты,был дорогим из-за участия популярных артистов.,Абонементы на концерты [MASK],Абонементы на концерты [MASK] [MASK] из-за участия популярных артистов.,был дорогим,False,False,-1.3562612533569336,2.4729232788085938,4.784212589263916,10.253652572631836
7,8.0,1.0,1.0,P,P,P,P_P-P,Абонементы на концерты были дорогими из-за участия популярных артистов.,Абонементы на концерты,были дорогими из-за участия популярных артистов.,Абонементы на концерты [MASK],Абонементы на концерты [MASK] [MASK] из-за участия популярных артистов.,были дорогими,False,False,-1.3562612533569336,2.4729232788085938,4.784212589263916,10.253652572631836
8,1.0,2.0,1.0,S,S,P,P_S-S,Анекдот про экзамен были обидными для строгого пожилого учителя.,Анекдот про экзамен,были обидными для строгого пожилого учителя.,Анекдот про экзамен [MASK],Анекдот про экзамен [MASK] [MASK] для строгого пожилого учителя.,были обидными,True,True,0.7146731615066528,-3.5965476036071777,6.654249668121338,1.5883041620254517
9,2.0,2.0,1.0,S,P,S,S_S-P,Анекдот про экзамены был обидным для строгого пожилого учителя.,Анекдот про экзамены,был обидным для строгого пожилого учителя.,Анекдот про экзамены [MASK],Анекдот про экзамены [MASK] [MASK] для строгого пожилого учителя.,был обидным,True,False,0.37405213713645935,-1.5213543176651,5.041701793670654,5.687928676605225
10,3.0,2.0,1.0,S,P,P,P_S-P,Анекдот про экзамены были обидными для строгого пожилого учителя.,Анекдот про экзамены,были обидными для строгого пожилого учителя.,Анекдот про экзамены [MASK],Анекдот про экзамены [MASK] [MASK] для строгого пожилого учителя.,были обидными,True,False,0.37405213713645935,-1.5213543176651,5.041701793670654,5.687928676605225
11,4.0,2.0,1.0,P,S,S,S_P-S,Анекдоты про экзамен был обидным для строгого пожилого учителя.,Анекдоты про экзамен,был обидным для строгого пожилого учителя.,Анекдоты про экзамен [MASK],Анекдоты про экзамен [MASK] [MASK] для строгого пожилого учителя.,был обидным,True,False,-1.209273099899292,-1.392478585243225,5.41268253326416,7.434675216674805
12,5.0,2.0,1.0,P,S,P,P_P-S,Анекдоты про экзамен были обидными для строгого пожилого учителя.,Анекдоты про экзамен,были обидными для строгого пожилого учителя.,Анекдоты про экзамен [MASK],Анекдоты про экзамен [MASK] [MASK] для строгого пожилого учителя.,были обидными,True,False,-1.209273099899292,-1.392478585243225,5.41268253326416,7.434675216674805
13,6.0,2.0,1.0,P,P,S,S_P-P,Анекдоты про экзамены был обидным для строгого пожилого учителя.,Анекдоты про экзамены,был обидным для строгого пожилого учителя.,Анекдоты про экзамены [MASK],Анекдоты про экзамены [MASK] [MASK] для строгого пожилого учителя.,был обидным,False,False,-1.2589008808135986,0.6307214498519897,2.9247703552246094,8.079334259033203
14,7.0,2.0,1.0,P,P,P,P_P-P,Анекдоты про экзамены были обидными для строгого пожилого учителя.,Анекдоты про экзамены,были обидными для строгого пожилого учителя.,Анекдоты про экзамены [MASK],Анекдоты про экзамены [MASK] [MASK] для строгого пожилого учителя.,были обидными,False,False,-1.2589008808135986,0.6307214498519897,2.9247703552246094,8.079334259033203
15,8.0,2.0,1.0,S,S,S,S_S-S,Анекдот про экзамен был обидным для строгого пожилого учителя.,Анекдот про экзамен,был обидным для строгого пожилого учителя.,Анекдот про экзамен [MASK],Анекдот про экзамен [MASK] [MASK] для строгого пожилого учителя.,был обидным,True,True,0.7146731615066528,-3.5965476036071777,6.654249668121338,1.5883041620254517
16,1.0,3.0,1.0,S,P,S,S_S-P,Арка во дворы была проделана в несущей конструкции здания,Арка во дворы,была проделана в несущей конструкции здания,Арка во дворы [MASK],Арка во дворы [MASK] [MASK] в несущей конструкции здания,была проделана,True,True,2.3951575756073,1.3160876035690308,9.148632049560547,4.902115345001221
