,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,leftA,rightA,masked_leftA,masked_fullA,need_to_predict,left_bert_is_singular,left_bert_is_singular_score,left_bert_is_plural_score
0,1.0,1.0,1.0,S,S,S,S_S-S,Абонемент на концерт был дорогим из-за участия популярных артистов.,Абонемент на концерт был,дорогим из-за участия популярных артистов.,Абонемент на концерт был [MASK],Абонемент на концерт был [MASK] из-за участия популярных артистов.,дорогим,True,2.347878932952881,-3.0970709323883057
1,2.0,1.0,1.0,S,S,P,P_S-S,Абонемент на концерт были дорогими из-за участия популярных артистов.,Абонемент на концерт были,дорогими из-за участия популярных артистов.,Абонемент на концерт были [MASK],Абонемент на концерт были [MASK] из-за участия популярных артистов.,дорогими,True,0.9198625683784485,-0.40625008940696716
2,3.0,1.0,1.0,S,P,S,S_S-P,Абонемент на концерты был дорогим из-за участия популярных артистов.,Абонемент на концерты был,дорогим из-за участия популярных артистов.,Абонемент на концерты был [MASK],Абонемент на концерты был [MASK] из-за участия популярных артистов.,дорогим,True,2.401935338973999,-2.436112880706787
3,4.0,1.0,1.0,S,P,P,P_S-P,Абонемент на концерты были дорогими из-за участия популярных артистов.,Абонемент на концерты были,дорогими из-за участия популярных артистов.,Абонемент на концерты были [MASK],Абонемент на концерты были [MASK] из-за участия популярных артистов.,дорогими,True,0.738558828830719,-0.02024325728416443
4,5.0,1.0,1.0,P,S,S,S_P-S,Абонементы на концерт был дорогим из-за участия популярных артистов.,Абонементы на концерт был,дорогим из-за участия популярных артистов.,Абонементы на концерт был [MASK],Абонементы на концерт был [MASK] из-за участия популярных артистов.,дорогим,True,1.272757887840271,-0.7475212812423706
5,6.0,1.0,1.0,P,S,P,P_P-S,Абонементы на концерт были дорогими из-за участия популярных артистов.,Абонементы на концерт были,дорогими из-за участия популярных артистов.,Абонементы на концерт были [MASK],Абонементы на концерт были [MASK] из-за участия популярных артистов.,дорогими,False,-1.0304285287857056,1.6226649284362793
6,7.0,1.0,1.0,P,P,S,S_P-P,Абонементы на концерты был дорогим из-за участия популярных артистов.,Абонементы на концерты был,дорогим из-за участия популярных артистов.,Абонементы на концерты был [MASK],Абонементы на концерты был [MASK] из-за участия популярных артистов.,дорогим,True,0.6845026612281799,-0.43908628821372986
7,8.0,1.0,1.0,P,P,P,P_P-P,Абонементы на концерты были дорогими из-за участия популярных артистов.,Абонементы на концерты были,дорогими из-за участия популярных артистов.,Абонементы на концерты были [MASK],Абонементы на концерты были [MASK] из-за участия популярных артистов.,дорогими,False,-0.5150501132011414,1.843539834022522
8,1.0,2.0,1.0,S,S,P,P_S-S,Анекдот про экзамен были обидными для строгого пожилого учителя.,Анекдот про экзамен были,обидными для строгого пожилого учителя.,Анекдот про экзамен были [MASK],Анекдот про экзамен были [MASK] для строгого пожилого учителя.,обидными,False,3.1731107234954834,3.891071081161499
9,2.0,2.0,1.0,S,P,S,S_S-P,Анекдот про экзамены был обидным для строгого пожилого учителя.,Анекдот про экзамены был,обидным для строгого пожилого учителя.,Анекдот про экзамены был [MASK],Анекдот про экзамены был [MASK] для строгого пожилого учителя.,обидным,True,4.238988399505615,2.1406893730163574
10,3.0,2.0,1.0,S,P,P,P_S-P,Анекдот про экзамены были обидными для строгого пожилого учителя.,Анекдот про экзамены были,обидными для строгого пожилого учителя.,Анекдот про экзамены были [MASK],Анекдот про экзамены были [MASK] для строгого пожилого учителя.,обидными,False,3.677381992340088,4.247326374053955
11,4.0,2.0,1.0,P,S,S,S_P-S,Анекдоты про экзамен был обидным для строгого пожилого учителя.,Анекдоты про экзамен был,обидным для строгого пожилого учителя.,Анекдоты про экзамен был [MASK],Анекдоты про экзамен был [MASK] для строгого пожилого учителя.,обидным,True,4.471766471862793,2.8126535415649414
