...1,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,left_gpt_is_singular_score,left_gpt_is_plural_score,verb_correct_delta,verb_correct_delta2
0,1,1,1,S,S,S,S_S-S,Абонемент на концерт был дорогим из-за участия популярных артистов.,Абонемент на концерт,был дорогим из-за участия популярных артистов.,0.55194646,-4.2109113,4.76285776,0.55194646
2,3,1,1,S,P,S,S_S-P,Абонемент на концерты был дорогим из-за участия популярных артистов.,Абонемент на концерты,был дорогим из-за участия популярных артистов.,-0.13932315,-4.0270977,3.8877745499999996,-0.13932315
4,5,1,1,P,S,S,S_P-S,Абонементы на концерт был дорогим из-за участия популярных артистов.,Абонементы на концерт,был дорогим из-за участия популярных артистов.,-2.0911565,-0.49715385,1.5940026499999997,-0.49715385
6,7,1,1,P,P,S,S_P-P,Абонементы на концерты был дорогим из-за участия популярных артистов.,Абонементы на концерты,был дорогим из-за участия популярных артистов.,-3.6801693,-1.2874177,2.3927516000000004,-1.2874177
9,2,2,1,S,P,S,S_S-P,Анекдот про экзамены был обидным для строгого пожилого учителя.,Анекдот про экзамены,был обидным для строгого пожилого учителя.,2.399509,-1.6324198,4.0319288,2.399509
11,4,2,1,P,S,S,S_P-S,Анекдоты про экзамен был обидным для строгого пожилого учителя.,Анекдоты про экзамен,был обидным для строгого пожилого учителя.,-1.8243661,-0.08895227,1.73541383,-0.08895227
13,6,2,1,P,P,S,S_P-P,Анекдоты про экзамены был обидным для строгого пожилого учителя.,Анекдоты про экзамены,был обидным для строгого пожилого учителя.,-2.879142,1.0489104,3.9280524,1.0489104
15,8,2,1,S,S,S,S_S-S,Анекдот про экзамен был обидным для строгого пожилого учителя.,Анекдот про экзамен,был обидным для строгого пожилого учителя.,1.7170734,-3.250152,4.9672254,1.7170734
16,1,3,1,S,P,S,S_S-P,Арка во дворы была проделана в несущей конструкции здания,Арка во дворы,была проделана в несущей конструкции здания,2.3656642,-2.628637,4.9943012,2.3656642
18,3,3,1,P,S,S,S_P-S,Арки во двор была проделана в несущей конструкции здания,Арки во двор,была проделана в несущей конструкции здания,-1.418283,1.2034116,2.6216945999999997,1.2034116
20,5,3,1,P,P,S,S_P-P,Арки во дворы была проделана в несущей конструкции здания,Арки во дворы,была проделана в несущей конструкции здания,-0.66128606,1.8706727,2.53195876,1.8706727
22,7,3,1,S,S,S,S_S-S,Арка во двор была проделана в несущей конструкции здания,Арка во двор,была проделана в несущей конструкции здания,2.3902254,-1.1971594,3.5873847999999997,2.3902254
25,2,4,1,P,S,S,S_P-S,Атаки на крепость была безуспешной из-за стратегической ошибки полководца.,Атаки на крепость,была безуспешной из-за стратегической ошибки полководца.,-2.064974,2.4663048,4.5312788,2.4663048
27,4,4,1,P,P,S,S_P-P,Атаки на крепости была безуспешной из-за стратегической ошибки полководца.,Атаки на крепости,была безуспешной из-за стратегической ошибки полководца.,-1.1436188,3.2942603,4.4378791,3.2942603
29,6,4,1,S,S,S,S_S-S,Атака на крепость была безуспешной из-за стратегической ошибки полководца.,Атака на крепость,была безуспешной из-за стратегической ошибки полководца.,2.9991748,-3.3322878,6.3314626,2.9991748
31,8,4,1,S,P,S,S_S-P,Атака на крепости была безуспешной из-за стратегической ошибки полководца.,Атака на крепости,была безуспешной из-за стратегической ошибки полководца.,3.0959496,-0.8149029,3.9108525,3.0959496
32,1,5,1,P,S,S,S_P-S,Билеты в музей был утерян во время уличной демонстрации.,Билеты в музей,был утерян во время уличной демонстрации.,-0.08545379,3.7253325,3.81078629,3.7253325
34,3,5,1,P,P,S,S_P-P,Билеты в музеи был утерян во время уличной демонстрации.,Билеты в музеи,был утерян во время уличной демонстрации.,-2.0973392,1.4785664,3.5759056,1.4785664
36,5,5,1,S,S,S,S_S-S,Билет в музей был утерян во время уличной демонстрации.,Билет в музей,был утерян во время уличной демонстрации.,2.3861353,-0.66552216,3.05165746,2.3861353
38,7,5,1,S,P,S,S_S-P,Билет в музеи был утерян во время уличной демонстрации.,Билет в музеи,был утерян во время уличной демонстрации.,2.3293672,-0.90310466,3.23247186,2.3293672
41,2,6,1,P,P,S,S_P-P,Взгляды на снимки был брошен из-под длинных опущенных ресниц.,Взгляды на снимки,был брошен из-под длинных опущенных ресниц.,-2.1810923,2.1367338,4.3178260999999996,2.1367338
