...1,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,masked_left,masked_full,need_to_predict,left_bert_is_singular,full_bert_is_singular,left_bert_is_singular_score,left_bert_is_plural_score,full_bert_is_singular_score,full_bert_is_plural_score,verb_correct_delta,verb_correct_delta2
0,1,1,1,S,S,S,S_S-S,Абонемент на концерт был дорогим из-за участия популярных артистов.,Абонемент на концерт,был дорогим из-за участия популярных артистов.,Абонемент на концерт [MASK],Абонемент на концерт [MASK] [MASK] из-за участия популярных артистов.,был дорогим,TRUE,TRUE,3.0692358016967773,-3.2619361877441406,11.95199203491211,5.909460544586182,6.331171989440918,3.0692358016967773
2,3,1,1,S,P,S,S_S-P,Абонемент на концерты был дорогим из-за участия популярных артистов.,Абонемент на концерты,был дорогим из-за участия популярных артистов.,Абонемент на концерты [MASK],Абонемент на концерты [MASK] [MASK] из-за участия популярных артистов.,был дорогим,TRUE,TRUE,2.110902786254883,-1.0378894805908203,10.065629005432127,5.547128200531006,3.148792266845703,2.110902786254883
4,5,1,1,P,S,S,S_P-S,Абонементы на концерт был дорогим из-за участия популярных артистов.,Абонементы на концерт,был дорогим из-за участия популярных артистов.,Абонементы на концерт [MASK],Абонементы на концерт [MASK] [MASK] из-за участия популярных артистов.,был дорогим,FALSE,FALSE,-0.3492622673511505,2.868706703186035,6.86793327331543,11.481144905090332,3.2179689705371857,2.868706703186035
6,7,1,1,P,P,S,S_P-P,Абонементы на концерты был дорогим из-за участия популярных артистов.,Абонементы на концерты,был дорогим из-за участия популярных артистов.,Абонементы на концерты [MASK],Абонементы на концерты [MASK] [MASK] из-за участия популярных артистов.,был дорогим,FALSE,FALSE,-1.3562612533569336,2.4729232788085938,4.784212589263916,10.253652572631836,3.8291845321655273,2.4729232788085938
9,2,2,1,S,P,S,S_S-P,Анекдот про экзамены был обидным для строгого пожилого учителя.,Анекдот про экзамены,был обидным для строгого пожилого учителя.,Анекдот про экзамены [MASK],Анекдот про экзамены [MASK] [MASK] для строгого пожилого учителя.,был обидным,TRUE,FALSE,0.37405213713645935,-1.5213543176651,5.041701793670654,5.687928676605225,1.8954064548015594,0.37405213713645935
11,4,2,1,P,S,S,S_P-S,Анекдоты про экзамен был обидным для строгого пожилого учителя.,Анекдоты про экзамен,был обидным для строгого пожилого учителя.,Анекдоты про экзамен [MASK],Анекдоты про экзамен [MASK] [MASK] для строгого пожилого учителя.,был обидным,TRUE,FALSE,-1.209273099899292,-1.392478585243225,5.41268253326416,7.434675216674805,-0.1832054853439331,-1.392478585243225
13,6,2,1,P,P,S,S_P-P,Анекдоты про экзамены был обидным для строгого пожилого учителя.,Анекдоты про экзамены,был обидным для строгого пожилого учителя.,Анекдоты про экзамены [MASK],Анекдоты про экзамены [MASK] [MASK] для строгого пожилого учителя.,был обидным,FALSE,FALSE,-1.2589008808135986,0.6307214498519897,2.92477035522461,8.079334259033203,1.8896223306655884,0.6307214498519897
15,8,2,1,S,S,S,S_S-S,Анекдот про экзамен был обидным для строгого пожилого учителя.,Анекдот про экзамен,был обидным для строгого пожилого учителя.,Анекдот про экзамен [MASK],Анекдот про экзамен [MASK] [MASK] для строгого пожилого учителя.,был обидным,TRUE,TRUE,0.7146731615066528,-3.5965476036071777,6.654249668121338,1.5883041620254517,4.311220765113831,0.7146731615066528
16,1,3,1,S,P,S,S_S-P,Арка во дворы была проделана в несущей конструкции здания,Арка во дворы,была проделана в несущей конструкции здания,Арка во дворы [MASK],Арка во дворы [MASK] [MASK] в несущей конструкции здания,была проделана,TRUE,TRUE,2.3951575756073,1.3160876035690308,9.148632049560549,4.902115345001221,1.079069972038269,2.3951575756073
18,3,3,1,P,S,S,S_P-S,Арки во двор была проделана в несущей конструкции здания,Арки во двор,была проделана в несущей конструкции здания,Арки во двор [MASK],Арки во двор [MASK] [MASK] в несущей конструкции здания,была проделана,FALSE,FALSE,2.341716766357422,5.100271224975586,5.143296718597412,9.465168952941896,2.758554458618164,5.100271224975586
20,5,3,1,P,P,S,S_P-P,Арки во дворы была проделана в несущей конструкции здания,Арки во дворы,была проделана в несущей конструкции здания,Арки во дворы [MASK],Арки во дворы [MASK] [MASK] в несущей конструкции здания,была проделана,FALSE,FALSE,1.7002358436584473,4.963901996612549,4.753898620605469,9.204523086547852,3.2636661529541016,4.963901996612549
