Prot,Sent,Group,N1,N2,Pred,Code,Sentence
1,1,1,S,S,S,S_S-S,Абонемент на концерт был дорогим из-за участия популярных артистов.
2,1,1,S,S,P,P_S-S,Абонемент на концерт были дорогими из-за участия популярных артистов.
3,1,1,S,P,S,S_S-P,Абонемент на концерты был дорогим из-за участия популярных артистов.
4,1,1,S,P,P,P_S-P,Абонемент на концерты были дорогими из-за участия популярных артистов.
5,1,1,P,S,S,S_P-S,Абонементы на концерт был дорогим из-за участия популярных артистов.
6,1,1,P,S,P,P_P-S,Абонементы на концерт были дорогими из-за участия популярных артистов.
7,1,1,P,P,S,S_P-P,Абонементы на концерты был дорогим из-за участия популярных артистов.
8,1,1,P,P,P,P_P-P,Абонементы на концерты были дорогими из-за участия популярных артистов.
1,2,1,S,S,P,P_S-S,Анекдот про экзамен были обидными для строгого пожилого учителя.
2,2,1,S,P,S,S_S-P,Анекдот про экзамены был обидным для строгого пожилого учителя.
3,2,1,S,P,P,P_S-P,Анекдот про экзамены были обидными для строгого пожилого учителя.
4,2,1,P,S,S,S_P-S,Анекдоты про экзамен был обидным для строгого пожилого учителя.
5,2,1,P,S,P,P_P-S,Анекдоты про экзамен были обидными для строгого пожилого учителя.
6,2,1,P,P,S,S_P-P,Анекдоты про экзамены был обидным для строгого пожилого учителя.
7,2,1,P,P,P,P_P-P,Анекдоты про экзамены были обидными для строгого пожилого учителя.
8,2,1,S,S,S,S_S-S,Анекдот про экзамен был обидным для строгого пожилого учителя.
1,3,1,S,P,S,S_S-P,Арка во дворы была проделана в несущей конструкции здания
2,3,1,S,P,P,P_S-P,Арка во дворы были проделаны в несущей конструкции здания
3,3,1,P,S,S,S_P-S,Арки во двор была проделана в несущей конструкции здания
4,3,1,P,S,P,P_P-S,Арки во двор были проделаны в несущей конструкции здания
5,3,1,P,P,S,S_P-P,Арки во дворы была проделана в несущей конструкции здания
6,3,1,P,P,P,P_P-P,Арки во дворы были проделаны в несущей конструкции здания
7,3,1,S,S,S,S_S-S,Арка во двор была проделана в несущей конструкции здания
8,3,1,S,S,P,P_S-S,Арка во двор были проделаны в несущей конструкции здания
1,4,1,S,P,P,P_S-P,Атака на крепости были безуспешными из-за стратегической ошибки полководца.
2,4,1,P,S,S,S_P-S,Атаки на крепость была безуспешной из-за стратегической ошибки полководца.
3,4,1,P,S,P,P_P-S,Атаки на крепость были безуспешными из-за стратегической ошибки полководца.
4,4,1,P,P,S,S_P-P,Атаки на крепости была безуспешной из-за стратегической ошибки полководца.
5,4,1,P,P,P,P_P-P,Атаки на крепости были безуспешными из-за стратегической ошибки полководца.
6,4,1,S,S,S,S_S-S,Атака на крепость была безуспешной из-за стратегической ошибки полководца.
7,4,1,S,S,P,P_S-S,Атака на крепость были безуспешными из-за стратегической ошибки полководца.
8,4,1,S,P,S,S_S-P,Атака на крепости была безуспешной из-за стратегической ошибки полководца.
1,5,1,P,S,S,S_P-S,Билеты в музей был утерян во время уличной демонстрации.
2,5,1,P,S,P,P_P-S,Билеты в музей были утеряны во время уличной демонстрации.
3,5,1,P,P,S,S_P-P,Билеты в музеи был утерян во время уличной демонстрации.
4,5,1,P,P,P,P_P-P,Билеты в музеи были утеряны во время уличной демонстрации.
5,5,1,S,S,S,S_S-S,Билет в музей был утерян во время уличной демонстрации.
6,5,1,S,S,P,P_S-S,Билет в музей были утеряны во время уличной демонстрации.
7,5,1,S,P,S,S_S-P,Билет в музеи был утерян во время уличной демонстрации.
8,5,1,S,P,P,P_S-P,Билет в музеи были утеряны во время уличной демонстрации.
1,6,1,P,S,P,P_P-S,Взгляды на снимок были брошены из-под длинных опущенных ресниц.
2,6,1,P,P,S,S_P-P,Взгляды на снимки был брошен из-под длинных опущенных ресниц.
3,6,1,P,P,P,P_P-P,Взгляды на снимки были брошены из-под длинных опущенных ресниц.
4,6,1,S,S,S,S_S-S,Взгляд на снимок был брошен из-под длинных опущенных ресниц.
5,6,1,S,S,P,P_S-S,Взгляд на снимок были брошены из-под длинных опущенных ресниц.
6,6,1,S,P,S,S_S-P,Взгляд на снимки был брошен из-под длинных опущенных ресниц.
7,6,1,S,P,P,P_S-P,Взгляд на снимки были брошены из-под длинных опущенных ресниц.
8,6,1,P,S,S,S_P-S,Взгляды на снимок был брошен из-под длинных опущенных ресниц.
1,7,1,P,P,S,S_P-P,Возражения на упреки было принято без излишне бурных эмоций.
2,7,1,P,P,P,P_P-P,Возражения на упреки были приняты без излишне бурных эмоций.
3,7,1,S,S,S,S_S-S,Возражение на упрек было принято без излишне бурных эмоций.
4,7,1,S,S,P,P_S-S,Возражение на упрек были приняты без излишне бурных эмоций.
5,7,1,S,P,S,S_S-P,Возражение на упреки было принято без излишне бурных эмоций.
6,7,1,S,P,P,P_S-P,Возражение на упреки были приняты без излишне бурных эмоций.
7,7,1,P,S,S,S_P-S,Возражения на упрек было принято без излишне бурных эмоций.
8,7,1,P,S,P,P_P-S,Возражения на упрек были приняты без излишне бурных эмоций.
1,8,1,P,P,P,P_P-P,Выстрелы в цели были неточными из-за сбитого прицела ружья.
2,8,1,S,S,S,S_S-S,Выстрел в цель был неточным из-за сбитого прицела ружья.
3,8,1,S,S,P,P_S-S,Выстрел в цель были неточными из-за сбитого прицела ружья.
4,8,1,S,P,S,S_S-P,Выстрел в цели был неточным из-за сбитого прицела ружья.
5,8,1,S,P,P,P_S-P,Выстрел в цели были неточными из-за сбитого прицела ружья.
6,8,1,P,S,S,S_P-S,Выстрелы в цель был неточным из-за сбитого прицела ружья.
7,8,1,P,S,P,P_P-S,Выстрелы в цель были неточными из-за сбитого прицела ружья.
8,8,1,P,P,S,S_P-P,Выстрелы в цели был неточным из-за сбитого прицела ружья.
1,9,1,S,S,S,S_S-S,Дорога через лес была проложена для снабжения людей провизией.
